137846528820	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
68923264410	68923264410	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	0	
33578000610	35345263800	33578000610	10	15	21	28	36	45	55	66	78	91	105	120	136	153	171	190	0	0	
15905368710	17672631900	17672631900	15905368710	35	56	84	120	165	220	286	364	455	560	680	816	969	1140	0	0	0	
7307872110	8597496600	9075135300	8597496600	7307872110	126	210	330	495	715	1001	1365	1820	2380	3060	3876	4845	0	0	0	0	
3247943160	4059928950	4537567650	4537567650	4059928950	3247943160	462	792	1287	2002	3003	4368	6188	8568	11628	15504	0	0	0	0	0	
1391975640	1855967520	2203961430	2333606220	2203961430	1855967520	1391975640	1716	3003	5005	8008	12376	18564	27132	38760	0	0	0	0	0	0	
573166440	818809200	1037158320	1166803110	1166803110	1037158320	818809200	573166440	6435	11440	19448	31824	50388	77520	0	0	0	0	0	0	0	
225792840	347373600	471435600	565722720	601080390	565722720	471435600	347373600	225792840	24310	43758	75582	125970	0	0	0	0	0	0	0	0	
84672315	141120525	206253075	265182525	300540195	300540195	265182525	206253075	141120525	84672315	92378	167960	0	0	0	0	0	0	0	0	0	
30045015	54627300	86493225	119759850	145422675	155117520	145422675	119759850	86493225	54627300	30045015	0	0	0	0	0	0	0	0	0	0	
10015005	20030010	34597290	51895935	67863915	77558760	77558760	67863915	51895935	34597290	20030010	10015005	0	0	0	0	0	0	0	0	0	
3108105	6906900	13123110	21474180	30421755	37442160	40116600	37442160	30421755	21474180	13123110	6906900	3108105	0	0	0	0	0	0	0	0	
888030	2220075	4686825	8436285	13037895	17383860	20058300	20058300	17383860	13037895	8436285	4686825	2220075	888030	0	0	0	0	0	0	0	
230230	657800	1562275	3124550	5311735	7726160	9657700	10400600	9657700	7726160	5311735	3124550	1562275	657800	230230	0	0	0	0	0	0	
53130	177100	480700	1081575	2042975	3268760	4457400	5200300	5200300	4457400	3268760	2042975	1081575	480700	177100	53130	0	0	0	0	0	
10626	42504	134596	346104	735471	1307504	1961256	2496144	2704156	2496144	1961256	1307504	735471	346104	134596	42504	10626	0	0	0	0	
1771	8855	33649	100947	245157	490314	817190	1144066	1352078	1352078	1144066	817190	490314	245157	100947	33649	8855	1771	0	0	0	
231	1540	7315	26334	74613	170544	319770	497420	646646	705432	646646	497420	319770	170544	74613	26334	7315	1540	231	0	0	
21	210	1330	5985	20349	54264	116280	203490	293930	352716	352716	293930	203490	116280	54264	20349	5985	1330	210	21	0	
1	20	190	1140	4845	15504	38760	77520	125970	167960	184756	167960	125970	77520	38760	15504	4845	1140	190	20	1	
result is 137846528820
